txn_id,player_id,txn_ts,txn_type,amount
1,1,2025-03-28 11:31:26,reward,34.59
2,1,2024-12-26 17:50:26,entry_fee,10.0
3,1,2024-12-21 02:28:26,deposit,90.73
4,1,2025-02-24 10:08:26,entry_fee,5.0
5,1,2025-01-13 19:05:26,entry_fee,20.0
6,2,2025-01-12 02:32:12,entry_fee,1.0
7,2,2025-03-20 15:38:12,entry_fee,5.0
8,2,2025-03-16 01:39:12,deposit,20.36
9,2,2025-04-10 13:47:12,withdrawal,55.98
10,3,2025-04-28 14:45:03,deposit,86.54
11,3,2025-04-27 13:11:03,deposit,85.79
12,3,2025-03-26 10:46:03,entry_fee,1.0
13,3,2025-02-11 17:26:03,entry_fee,5.0
14,3,2025-02-16 06:17:03,entry_fee,2.0
15,4,2025-02-15 19:29:37,deposit,56.15
16,4,2025-02-25 09:53:37,entry_fee,5.0
17,5,2025-03-26 02:27:18,entry_fee,10.0
18,6,2025-02-26 21:17:40,deposit,84.17
19,6,2025-02-11 15:11:40,entry_fee,2.0
20,7,2025-02-06 21:33:18,entry_fee,5.0
21,7,2024-12-24 00:23:18,deposit,72.32
22,7,2024-11-18 07:13:18,entry_fee,10.0
23,8,2025-05-06 15:14:06,deposit,88.43
24,8,2025-04-30 16:27:06,deposit,12.25
25,9,2024-11-19 23:44:34,entry_fee,1.0
26,9,2025-01-10 00:32:34,deposit,35.04
27,9,2024-12-04 11:47:34,entry_fee,2.0
28,9,2024-12-28 14:49:34,deposit,94.57
29,10,2025-03-11 22:29:59,entry_fee,2.0
30,10,2025-01-01 01:55:59,entry_fee,20.0
31,10,2025-02-05 20:37:59,entry_fee,5.0
32,10,2025-02-19 23:28:59,reward,43.95
33,10,2024-11-30 19:19:59,deposit,71.15
34,11,2025-02-23 22:24:48,entry_fee,1.0
35,11,2025-01-22 13:26:48,deposit,27.8
36,12,2025-02-19 22:38:33,reward,32.01
37,12,2025-02-10 19:26:33,entry_fee,5.0
38,12,2025-03-19 08:54:33,deposit,38.24
39,13,2025-02-14 02:06:59,entry_fee,5.0
40,13,2025-01-15 03:17:59,deposit,83.69
41,13,2025-03-29 00:19:59,entry_fee,2.0
42,14,2025-01-18 05:59:44,entry_fee,2.0
43,14,2025-01-13 11:22:44,entry_fee,2.0
44,15,2025-05-05 11:00:13,reward,23.5
45,17,2025-03-01 15:42:12,entry_fee,2.0
46,17,2025-03-02 04:32:12,reward,7.86
47,17,2025-01-24 21:42:12,deposit,36.92
48,17,2025-01-16 15:07:12,deposit,82.63
49,18,2025-03-09 14:43:00,deposit,30.94
50,18,2024-12-28 00:15:00,reward,18.65
51,19,2025-05-16 17:55:36,deposit,39.41
52,19,2025-02-14 09:21:36,entry_fee,5.0
53,19,2025-05-30 00:50:36,reward,4.25
54,21,2025-01-20 01:49:06,entry_fee,20.0
55,21,2025-04-20 19:45:06,withdrawal,67.5
56,21,2025-04-19 12:58:06,entry_fee,20.0
57,21,2025-01-29 05:04:06,deposit,79.44
58,22,2024-12-24 05:02:22,deposit,33.13
59,22,2025-03-07 22:07:22,deposit,52.7
60,22,2024-12-18 01:07:22,deposit,76.99
61,23,2024-12-06 08:05:18,deposit,12.54
62,23,2025-03-12 01:01:18,deposit,13.15
63,23,2025-01-15 05:24:18,deposit,86.91
64,24,2025-06-12 13:34:17,deposit,95.45
65,24,2025-03-13 22:48:17,entry_fee,1.0
66,24,2025-03-04 17:22:17,deposit,10.55
67,24,2025-05-09 03:56:17,deposit,11.52
68,24,2025-05-26 03:51:17,reward,40.6
69,25,2025-06-04 19:06:35,entry_fee,2.0
70,25,2025-03-30 04:46:35,deposit,24.82
71,25,2025-03-06 16:57:35,deposit,81.08
